,root_theme_name,year,num_set_per_year
0,Chinese Traditional Festivals,2021,7
1,Disney Princess,2021,14
2,LEGO Ideas and CUUSOO,2021,7
3,DOTS,2021,39
4,Creator,2021,43
5,Architecture,2021,1
6,Collectible Minifigures,2021,48
7,FIRST LEGO League,2021,9
8,Gear,2021,202
9,Classic,2021,8
10,Educational and Dacta,2021,17
11,Friends,2021,44
12,Legoland Parks,2021,1
13,Technic,2021,15
14,Promotional,2021,18
15,Monkie Kid,2021,12
16,Minecraft,2021,10
17,Modular Buildings,2021,1
18,Brickheadz,2021,17
19,Brick Sketches,2021,2
20,Books,2021,31
21,VIDIYO,2021,49
22,Minions,2021,7
23,Town,2021,53
24,Seasonal,2021,17
25,Disney,2021,14
26,Ninjago,2021,41
27,Harry Potter,2021,16
28,Super Heroes Marvel,2021,39
29,Speed Champions,2021,7
30,Other,2021,3
31,LEGO Brand Store,2021,5
32,Power Functions,2021,2
33,Star Wars,2021,32
34,Duplo,2021,22
35,LEGO Art,2021,3
36,Super Heroes DC,2021,12
37,Jurassic World,2021,8
38,Xtra,2021,2
39,LEGO Exclusive,2021,2
40,Super Mario,2021,45
41,Jurassic World,2020,11
42,Harry Potter,2020,10
43,Mindstorms,2020,2
44,Super Heroes DC,2020,13
45,Minecraft,2020,13
46,Power Functions,2020,3
47,LEGO Art,2020,4
48,Books,2020,40
49,Town,2020,58
50,Minions,2020,2
51,Brickheadz,2020,13
52,Brick Sketches,2020,4
53,Ghostbusters,2020,1
54,Speed Champions,2020,7
55,Duplo,2020,24
56,Technic,2020,14
57,Super Heroes Marvel,2020,26
58,Disney,2020,2
59,LEGO Ideas and CUUSOO,2020,6
60,LEGO Exclusive,2020,3
61,DOTS,2020,22
62,Super Mario,2020,32
63,Creator,2020,26
64,Trolls: World Tour,2020,9
65,LEGO Originals,2020,5
66,Collectible Minifigures,2020,58
67,Promotional,2020,20
68,FIRST LEGO League,2020,11
69,Hidden Side,2020,20
70,Star Wars,2020,45
71,Classic,2020,9
72,LEGO Brand Store,2020,20
73,Chinese Traditional Festivals,2020,5
74,Legoland Parks,2020,3
75,Disney Princess,2020,20
76,Seasonal,2020,28
77,Educational and Dacta,2020,18
78,Monkie Kid,2020,14
79,Other,2020,3
80,Gear,2020,158
81,Friends,2020,58
82,Ninjago,2020,47
83,Architecture,2020,4
84,Xtra,2020,4
85,Modular Buildings,2020,2
86,Modular Buildings,2019,1
87,Power Functions,2019,6
88,Classic,2019,5
89,Brickheadz,2019,16
90,FIRST LEGO League,2019,12
91,Minecraft,2019,9
92,Collectible Minifigures,2019,67
93,Ninjago,2019,50
94,Jurassic World,2019,7
95,Chinese Traditional Festivals,2019,3
96,Value Packs,2019,1
97,Hidden Side,2019,12
98,Overwatch,2019,10
99,Friends,2019,51
100,Super Heroes DC,2019,19
101,Harry Potter,2019,8
102,Speed Champions,2019,6
103,Star Wars,2019,58
104,Legoland Parks,2019,2
105,Stranger Things,2019,3
106,The LEGO Movie,2019,40
107,Promotional,2019,12
108,Creator,2019,20
109,Books,2019,30
110,Forma,2019,4
111,Educational and Dacta,2019,1
112,LEGO Exclusive,2019,5
113,Duplo,2019,28
114,Architecture,2019,5
115,Technic,2019,14
116,Toy Story,2019,6
117,Gear,2019,187
118,Disney Princess,2019,6
119,LEGO Brand Store,2019,41
120,Other,2019,2
121,Disney,2019,13
122,Xtra,2019,5
123,LEGO Ideas and CUUSOO,2019,6
124,Seasonal,2019,29
125,LEGO Originals,2019,13
126,Super Heroes Marvel,2019,23
127,Town,2019,56
128,Star Wars,2018,68
