theme_id,name
1,Technic
22,Creator
50,Town
112,Racers
126,Space
147,Pirates
155,Modular Buildings
158,Star Wars
186,Castle
204,Designer Sets
206,Seasonal
233,Train
246,Harry Potter
252,Architecture
254,Bulk Bricks
258,Mindstorms
263,Pirates of the Caribbean
264,Indiana Jones
269,Cars
270,Ben 10
271,Prince of Persia
272,SpongeBob SquarePants
273,Studios
275,Toy Story
276,Sculptures
278,Model Team
279,4 Juniors
296,Adventurers
301,Other
302,Agents
304,Alpha Team
307,Aquazone
315,Atlantis
317,Avatar
318,Belville
324,Bionicle
363,Boat
364,Building Set with People
365,System
384,Dino 2010
385,Dino Attack
386,Dinosaurs
387,Discovery
388,Disney's Mickey Mouse
389,Exo-Force
390,Fabuland
397,Factory
398,FIRST LEGO League
399,Freestyle
400,Hero Factory
404,Hobby Sets
405,Homemaker
406,Inventor
407,Island Xtreme Stunts
408,LEGO Brand Store
411,Legoland
425,Legoland Parks
432,Master Building Academy
433,Minitalia
434,Ninja
435,Ninjago
437,Pharaoh's Quest
438,Power Functions
439,Power Miners
440,Primo
441,Quatro
442,Rock Raiders
443,Service Packs
458,Sports
463,Spybotics
464,Time Cruisers
465,Universal Building Set
474,Vikings
475,Western
478,X-Pod
480,Znap
481,Dino
494,Friends
497,Books
500,Clikits
501,Gear
504,Duplo
507,Educational and Dacta
535,Collectible Minifigures
558,Monster Fighters
559,Value Packs
560,Universe
561,The Hobbit and Lord of the Rings
570,Teenage Mutant Ninja Turtles
571,Legends of Chima
575,The Lone Ranger
576,LEGO Ideas and CUUSOO
577,Minecraft
578,The LEGO Movie
579,Disney Princess
580,Mixels
590,Fusion
591,Juniors
598,Promotional
599,LEGO Exclusive
600,Elves
601,Speed Champions
602,Jurassic World
603,Scooby-Doo
604,Dimensions
605,Nexo Knights
606,Angry Birds
607,Ghostbusters
608,Disney
610,Brickheadz
617,DC Super Hero Girls
621,Classic
625,Unikitty!
646,Xtra
654,The Powerpuff Girls
668,Scala
669,Overwatch
671,Forma
676,Hidden Side
680,Stranger Things
682,Trolls: World Tour
683,LEGO Originals
685,Galidor
686,Chinese Traditional Festivals
688,DOTS
689,Minions
690,Super Mario
693,Monkie Kid
694,Brick Sketches
695,Super Heroes DC
696,Super Heroes Marvel
709,LEGO Art
713,VIDIYO
716,Modulex
